Experiment,Toponym,Lexical Status,Transparency,Context,Output,Text
Exp1,,Existing,Transparent,Original,"龙石岛的墙壁上火把摇曳闪烁，在外面的营地里，他能看见数百处炊火在燃烧，仿佛一片星辰坠落到了大地上。

地名“Dragonstone”采用了意译加专名保留的方式，译为“龙石岛”，既保留了原名的奇幻感和地名属性，也让中文读者能直接理解其字面意象。","Torches flickered along the walls of Dragonstone, and in the camp beyond, he could see hundreds of cookfires burning, as if a field of stars had fallen to the earth."
Exp1,,Existing,Transparent,Original,"他说，他的父亲曾是苦桥的一名军械匠，因此他自出生起耳边便常伴着钢铁的铿锵之声，也很早便开始习练剑术。

地名“Bitterbridge”采用了意译，译为“苦桥”，保留其字面构成与地名感，同时符合中文读者对虚构地名的理解习惯。","His father had been an armorer at Bitterbridge, he said, so he had been born with the sound of steel ringing in his ears and had taken to swordplay at an early age."
Exp1,,Existing,Transparent,Original,"“这里和苦桥之间有战斗，”他谨慎地说道。

地名“Bitterbridge”采用了直译加意译的方式译为“苦桥”，保留了原名的语义色彩，同时符合中文地名的自然表达习惯。","“There is fighting between here and Bitterbridge,” he said cautiously."
Exp1,,Existing,Transparent,Original,"下午的阴影又长又黑，太阳红得发胀，像王子的关节一样，直到他们在东边瞥见了阳戟城的塔楼。  

地名“Sun­spear”采用了意译，译为“阳戟城”：既保留了原名中“sun”的意象，又用“戟”传达出“spear”的武器感，同时加上“城”以符合中文地名习惯，便于读者理解其为一座城池。",The shadows of the afternoon were long and dark and the sun was as red and swollen as the prince’s joints before they glimpsed the towers of Sunspear to the east.
Exp1,,Existing,Transparent,Original,"向西，在阳戟城高大城墙的阴影里，泥砖铺面的店铺和没有窗户的棚屋像藤壶一样紧贴着城堡，仿佛附着在一艘桨帆船的船壳上。

地名“Sun­spear”译作“阳戟城”，采用了意译加地名化处理：既保留原名中“太阳/阳光”与“长矛/戟”的意象，又用“城”明确其为城镇/城堡名称，符合中文地名的自然表达。","To the west, in the shadows of Sunspear’s massive walls, mud-brick shops and windowless hovels clung to the castle like barnacles to a galley’s hull."
Exp1,,Existing,Transparent,Original,"小麦、玉米和大麦在它的田野里长得很高，即便是在高庭，那里的南瓜也没有这里的大，果子也没有这里的甜。

地名“Highgarden”采用了意译，译为“高庭”，保留其作为专有地名的庄园感与“高”所传达的地势、华美意象，同时符合中文读者的理解习惯。","Wheat and corn and barley grew high in its fields, and even in Highgarden the pumpkins were no larger nor the fruit any sweeter than here."
Exp1,,Existing,Transparent,Original,"高庭的财富与权势本可以在即将到来的战斗中起到决定性作用。

地名“Highgarden”采用了意译，译为“高庭”，既保留了原名的意象，也符合中文奇幻语境中对地名的自然表达方式。",The wealth and power of Highgarden could have made all the difference in the fighting yet to come.
Exp1,,Existing,Transparent,Original,"上次她见到处女池时，那座城镇已是一片荒凉；领主闭守在城堡里，平民则不是死了、逃了，就是躲了起来。

地名“Maidenpool”我译作“处女池”，采用直译保留其字面意象与专名风格；这样既能让中文读者感受到原名的含义，也符合奇幻地名常见的命名方式。","When last she had seen Maidenpool, the town had been a desolation, its lord shut up inside his castle, its smallfolk dead or fled or hiding."
Exp1,,Existing,Transparent,Original,"当他们从焦黑的树木间走出来，发现前方就是处女池，远处则是海湾深邃的水面时，太阳正半隐在一片云层后面。

地名“Maidenpool”采用了音意兼顾的译法，译为“处女池”：既保留了原名中“Maiden”的含义，又用“池”传达出地名中“pool”的地理意象，便于中文读者理解并保持一定的文学感。","The sun was half-hidden behind a bank of clouds when they emerged from the blackened trees to find Maidenpool before them, with the deep waters of the bay beyond."
Exp1,,Existing,Opaque,Original,"在城墙外，他们带着庞大的牲畜群扎营，搭起编织草料的宫殿，所见之物无不吃尽，并且随着日子一天天过去，让潘托斯的善良百姓愈发焦虑不安。

地名“Pentos”译作“潘托斯”，采用音译，以保留专有地名的识别性与异域感，同时符合中文读者对虚构地名的常见接受方式。","Outside the city walls, they camped with their vast herds, raising palaces of woven grass, eating everything in sight, and making the good folk of Pentos more anxious with every passing day."
Exp1,,Existing,Opaque,Original,"她心想，这座城池一定比潘托斯大上十倍，广阔无垠，没有城墙，也没有边界；它那宽阔而饱受风吹的街道铺着青草与泥土，地面上还铺满了野花。

地名“Pentos”采用音译为“潘托斯”，以保留专有名词的异域感和原作中的地名识别度，同时避免意译造成的文化信息损失。","She thought it must be ten times as large as Pentos, a vastness without walls or limits, its broad windswept streets paved in grass and mud and carpeted with wildflowers."
Exp1,,Existing,Opaque,Original,"“布拉佛斯有个放贷人，拿着些花里胡哨的文书之类的东西，说是要见国王，商谈一笔贷款的还款事宜。”

地名“Braavos”我译作“布拉佛斯”，采用音译而非意译，因为它是专有地名，保留原有读音更能维持专名识别度，也符合中文里对虚构地名的常见处理方式。","There’s a moneylender from Braavos, holding fancy papers and the like, requests to see the king about payment on some loan."
Exp1,,Existing,Opaque,Original,"有一次去布拉佛斯航行时，她看着船员们在渐起的狂风中合力收拢一张巨大的绿色船帆，甚至还想过，要是能当个水手该多好。

地名“Braavos”采用音译为“布拉佛斯”，以保留其专有名词属性和原有异域感，同时避免意译造成的歧义。","Once on a voyage to Braavos, as she’d watched the crew wrestle down a great green sail in a rising gale, she had even thought how fine it would be to be a sailor."
Exp1,,Existing,Opaque,Original,"阿斯塔波已经只剩下尸体了，所以它们正涌向乡间，成百上千，甚至可能有几千，全都又饿又病。

地名“Astapor”采用音译为“阿斯塔波”，保留专有名词的原有指称与异域感，同时符合中文读者的发音习惯，避免意译造成地名信息丢失。","There’s nothing left in Astapor but corpses, so they’re pouring out into the countryside, hundreds of them, maybe thousands, all starved and sick."
Exp1,,Existing,Opaque,Original,"这座城不是用红砖，而是用黄砖建成的；除此之外，它简直又是一次阿斯塔波的重现，依旧是那些坍塌的城墙和高耸的阶梯金字塔，城门上方还高高矗立着一只巨大的鹰身女妖。

地名“Astapor”采用音译为“阿斯塔波”，以保留专有名词的异域感和原作设定中的独特性，同时避免意译削弱其作为虚构城市名称的识别度。","The city was built of yellow bricks instead of red; elsewise it was Astapor all over again, with the same crumbling walls and high stepped pyramids, and a great harpy mounted above its gates."
Exp1,,Existing,Opaque,Original,"不久，我就成了密尔城里数一数二的窃贼；等我长大些，我又明白了，往往一个人的信件内容比他钱袋里的东西更有价值。

地名“Myr”译作“密尔城”，采用音译并补足“城”以体现其为地名，同时保留原名的专有感与异域色彩。","Soon I was as good a thief as any in Myr, and when I was older I learned that often the contents of a man’s letters are more valuable than the contents of his purse."
Exp1,,Existing,Opaque,Original,"最好的玻璃来自米尔，但一块上好的透明玻璃板其价值堪比同等重量的香料，而绿色和黄色玻璃的效果就没那么好了。

地名“Myr”我译作“米尔”，采用音译以保留专有名词的异域感和识别性，同时避免意译造成地名含义失真。","The best glass came from Myr, but a good clear pane was worth its weight in spice, and green and yellow glass would not work as well."
Exp1,,Existing,Opaque,Original,"在魁尔斯的城墙上，人们敲响铜锣来宣告她的到来，另一些人则吹响奇特的号角，那些号角缠绕在他们身上，宛如巨大的青铜蛇。

地名“Qarth”采用音译为“魁尔斯”，以保留专有名词的异域感和识别性，同时符合中文读者的发音习惯。","On the walls of Qarth, men beat gongs to herald her coming, while others blew curious horns that encircled their bodies like great bronze snakes."
Exp1,,Existing,Opaque,Original,"“说出这话让我很难过，但你最好还是尽早离开魁尔斯，甚至彻底离开那里。”

地名“Qarth”我译作“魁尔斯”，采用音译，以保留专有名词的异域感和一致性；同时在中文里读起来较自然，适合幻想作品中的地名处理。","It grieves me to say so, yet it might be best if you left Qarth entirely, and sooner rather than later."
Exp1,,Existing,Opaque,Original,"“还有人低声说，她不该出现在我的战争议事会上，说我应该把她送回亚夏，说我夜里把她留在我的帐篷里是有罪的。”

地名“Asshai”采用音译为“亚夏”，以保留专有名词的异域感和原文指向性，同时避免意译造成的含义偏移。","Others whisper that she has no place in my war councils, that I ought to send her back to Asshai, that it is sinful to keep her in my tent of a night."
Exp1,,Existing,Opaque,Original,"“来自许多国度的船只都驶往亚夏，因此我久久停留，研究远方诸族的疗愈之道。”

地名“Asshai”采用音译为“亚夏”，以保留其专有名词属性和异域感，同时避免误译成带有具体含义的中文词语；这种处理也更符合奇幻地名在中文中的常见译法。","Ships from many lands come to Asshai, so I lingered long to study the healing ways of distant peoples."
Exp1,,Existing,Opaque,Original,"很久以前，有个青涩的少年从诺佛斯而来，那是个肩膀宽阔的大男孩，顶着一头浓密的黑发。

地名“Norvos”采用音译为“诺佛斯”，以保留其专有名词属性和异域感，同时便于中文读者识别与记忆。","Once, long ago, a callow youth had come from Norvos, a big broad-shouldered boy with a mop of dark hair."
Exp1,,Existing,Opaque,Original,"他们穿过了诺沃斯起伏的丘陵，经过层层梯田和一个个小村庄，镇民们焦虑地站在白色灰泥墙顶上注视着他们。

地名“Norvos”采用音译为“诺沃斯”，以保留专有名词的原有指称和异域感，同时符合中文读音习惯，避免意译造成地名含义不明确或失去原作风格。","They crossed the rolling hills of Norvos, past terraced farms and small villages where the townsfolk watched anxiously from atop white stucco walls."
Exp1,,Existing,Opaque,Original,"来自渊凯的使者是在太阳西沉时抵达的；五十名骑着华丽黑马的人，外加一人骑着一头巨大的白骆驼。

地名“Yunkai”采用了音译为主的处理方式，译作“渊凯”，以保留专有名词的异域感和识别度，同时让中文读者能够顺畅读出。",The envoys from Yunkai arrived as the sun was going down; fifty men on magnificent black horses and one on a great white camel.
Exp1,,Existing,Opaque,Original,"到第三天结束时，我将会在渊凯，不管你们是否为我打开城门。  

地名“Yunkai”采用音译为“渊凯”，以尽量保留原名的读音和专有名词属性，同时符合中文读者对虚构地名的接受习惯。","By the end of the third day, I will be in Yunkai, whether you open your gates for me or no."
Exp1,,Existing,Opaque,Original,"等他们来到弥林时，这座坐落在河畔盐岸上的城池，数字已达一百六十三。

地名“Meereen”采用音译为“弥林”，以保留专有名词的独特性和异域感，同时符合中文读者的阅读习惯；“salt coast beside her river”则译为“河畔盐岸”，尽量传达原文的地理意象。","By the time they came to Meereen sitting on the salt coast beside her river, the count stood at one hundred and sixty-three."
Exp1,,Existing,Opaque,Original,"她还有一座城池要攻取，沉溺于亲吻和某个雇佣兵那双明亮的蓝眼睛，并不会帮助她攻破弥林的城墙。

地名“Meereen”采用音译为“弥林”，以保留专有名词的识别性和异域感，同时符合中文读者对该虚构地名的自然读法与文本风格。","She had a city to take, and dreaming of kisses and some sellsword’s bright blue eyes would not help her breach the walls of Meereen."
Exp1,,Existing,Opaque,Original,"他们把自己那套精良的盔甲连同金子和真名一起丢弃在瓦兰提斯了。

地名“Volantis”采用音译为“瓦兰提斯”，以保留专有名词的异域感和原作设定中的独特性，同时避免意译造成歧义。","They had abandoned their own fine armor in Volantis, along with their gold and their true names."
Exp1,,Existing,Opaque,Original,"等他们抵达瓦兰提斯时，西边的天空已呈紫色，东边则已漆黑，群星也开始显现。

地名“Volantis”采用音译为“瓦兰提斯”，以保留专有名词的识别性和异域感，同时符合中文读者对虚构地名的自然接受方式。","By the time they reached Volantis, the sky was purple to the west and black to the east, and the stars were coming out."
Exp2,,Coined,Transparent,Original,"当他们骑马离开博阿拉奇时，他把自己最厚的衣服都带在了身上，可很快就发现那远远不够暖和。

地名“Boararch”我采用了音译“博阿拉奇”，因为它看起来像一个虚构或专有的地名，保留原有读音更能维持专名的识别度与异域感，同时避免误译其含义。","He had brought his warmest clothing with him when they rode out of Boararch, and soon discovered that it was nowhere near warm enough."
Exp2,,Coined,Transparent,Original,"在博阿尔奇，他总是在自己的餐桌旁多摆一把椅子，而且每天都会邀请一位不同的男子与他同坐。

地名“Boararch”我采用了音译“博阿尔奇”，以保留专有名词的独特性和原文的地名感，同时尽量让中文读音自然顺口。","At Boararch, he always had an extra seat set at his own table, and every day a different man would be asked to join him."
Exp2,,Coined,Transparent,Original,"一切都不是他所预料的；猴喙村是他们经过的第四个村子，而前面几个村子也都一样。

地名“Monkeybeak”采用了直译加意译的方式，译为“猴喙”，保留了原名的形象感和异域风格，同时符合中文对地名的自然表达习惯；若语境中“村”是固定后缀，则可理解为“猴喙村”。","Nothing was what he had expected; Monkeybeak was the fourth village they had passed, and it had been the same in all of them."
Exp2,,Coined,Transparent,Original,"这座岛的中央长着一棵巨大的鱼梁木……但白树并不一定就意味着“猴喙”。

翻译策略说明：  
我将 **weirwood** 译为“鱼梁木”，保留其作为奇幻专有名词的常见意象；**Monkeybeak** 作为地名/专名，采用直译“猴喙”，以保留原文的形象感和命名风格，同时不擅自音译或改写。","A huge weirwood grew in the center of this one … but a white tree did not mean Monkeybeak, necessarily."
Exp2,,Coined,Transparent,Original,"冰原狼的呼吸在林间空气中凝成了霜，他一瘸一拐地跟在他们后面，后腿仍因在月沉之地挨过的那一箭而跛着。

地名“Moonsunk”采用了意译处理，译为“月沉之地”，以保留其诗意和奇幻感，同时让中文读者能直接理解其字面意象；这样既避免生硬音译，也更符合中文叙述中的地名风格。","The direwolf’s breath frosted the forest air as he padded after them, still limping on the hind leg that had taken the arrow back at Moonsunk."
Exp2,,Coined,Transparent,Original,"那只温柔的巨兽一感觉到他，就会呜咽起来，左右甩动它那毛茸茸的脑袋，但没有第一次在月沉之地时那么猛烈。

地名“Moonsunk”采用了意译处理，译为“月沉之地”，以保留其诗意和意象感：moon 对应“月”，sunk 表达“沉没、沉落”的感觉，同时补出“之地”使其更自然地作为地点名出现在中文语境中。","The gentle giant would whimper when he felt him, and thrash his shaggy head from side to side, but not as violently as he had the first time, back at Moonsunk."
Exp2,,Coined,Transparent,Original,"她听说弗洛德米斯特有很好的女裁缝，而她已经厌倦了穿得如此朴素。

地名“Floodmist”我采用了音译“弗洛德米斯特”，以保留其专有名词属性和原有的异域感，同时避免擅自赋予不确定的中文含义。","She had heard there were fine seamstresses in Floodmist, and she was so tired of dressing drably."
